Run_freq_grid
leastsq_err: 0.11036984625855217
Leastsq-grid:
1e-10       0.10112931060700556
1.193729237695018       0.6744152183369947
3.947568976322368       1.7188125548564497
10.023224245699435       3.4813447852958883
23.532541839499743       6.388959102711259
53.59815086745024       11.182486871995668
120.51041489690056       19.085537154964115
269.42640295709856       32.11545203953299
600.845035948108       53.5981500506222
1338.430763771639       89.01713130363802
2979.9579868676137       147.4131591030494
6633.244006238838       243.6919322642728
14763.781565572144       402.4287934927386
32858.6256744429       664.1416330443619
73129.44183341555       1095.6331584284585
162753.79141900392       1807.0424144560632
362216.44961124816       2979.9579870417283
806128.7591239914       4913.768840299134
1794073.772606215       8102.083927575384
3992785.8352109515       13358.726829661873
8886109.520507872       22025.465794806718
19776401.658497788       36314.502674246636
44013192.53483411       59873.14171519782
97953162.60543343       98714.7710107605
Minimax-grid:
1.4113643340232e-10       0.15339635352249614
1.2248562427778125       0.6034588120777311
5.2448585682854825       1.6959321120112771
10.12380354689363       3.5291974089924345
23.542377167397294       6.388217668072994
53.59855839064925       11.181940693124007
120.51042886562324       19.085543146227927
269.42637470283034       32.11542253619566
600.8450359531621       53.59814998850329
1338.430763771639       89.01713130363802
2979.9579868676137       147.4131591030494
6633.244006238838       243.6919322642728
14763.781565572144       402.4287934927386
32858.6256744429       664.1416330443619
73129.44183341555       1095.6331584284585
162753.79141900392       1807.0424144560632
362216.44961124816       2979.9579870417283
806128.7591239914       4913.768840299134
1794073.772606215       8102.083927575384
3992785.8352109515       13358.726829661873
8886109.520507872       22025.465794806718
19776401.658497788       36314.502674246636
44013192.53483411       59873.14171519782
97953162.60543343       98714.7710107605
Run_time_grid
Leastsq-grid:
6.34384525700183e-05 ,      0.00016696403873489636 ,
0.00037519499903182566 ,      0.0004889030519152641 ,
0.0011564500170887968 ,      0.001164638205130931 ,
0.002984530169996479 ,      0.002694706165762599 ,
0.007139905017470804 ,      0.0060355369316608095 ,
0.016258793421905574 ,      0.013039686825147253 ,
0.03558437996278095 ,      0.027235953672350623 ,
0.07525062432605223 ,      0.055161014017328105 ,
0.15431049730285223 ,      0.10858602566988074 ,
0.30765967999459454 ,      0.2082168985492102 ,
0.5979717365280268 ,      0.3905029872834645 ,
1.1385923308815828 ,      0.7253541198004148 ,
2.156268921444199 ,      1.3985415941959358 ,
4.439615199183059 ,      4.236957908895777 ,
7.441187869687632 ,      0.06445716704709989 ,
8.1664376266374 ,      0.018608962391609963 ,
10.623948611275479 ,      0.3200515416694203 ,
10.7897556671319 ,      1.9872013200218355 ,
10.894428469839893 ,      3.1485592637109834 ,
11.770978547963304 ,      0.48226628375662156 ,
12.492445453775664 ,      3.551454788050722 ,
13.475198588366338 ,      5.487534745985583 ,
13.665529735384903 ,      5.750528568074815 ,
37.47174858396691 ,      4.904019248252783 ,
Minimax-grid:
6.343848991809716e-05 ,      0.00016696402005491505 ,
0.00037519510832724967 ,      0.0004889029972166599 ,
0.001156450277041015 ,      0.0011646380748308973 ,
0.002984530769272415 ,      0.0026947058642781524 ,
0.0071399063486066155 ,      0.006035536256403323 ,
0.01625879624584042 ,      0.013039685366263603 ,
0.03558438563753386 ,      0.027235950625184843 ,
0.0752506349427405 ,      0.055161007845899106 ,
0.15431051514603356 ,      0.10858601352124714 ,
0.30765970517370095 ,      0.20821687525384788 ,
0.5979717629540086 ,      0.3905029534416955 ,
1.1385923475334228 ,      0.725354108319977 ,
2.156268925639857 ,      1.3985415926956604 ,
4.439615199315262 ,      4.236957908880173 ,
7.441187869687638 ,      0.06445716704706138 ,
8.166437626637402 ,      0.01860896239160127 ,
10.623948611275479 ,      0.3200515416694203 ,
10.7897556671319 ,      1.9872013200218355 ,
10.894428469839895 ,      3.1485592637109834 ,
11.770978547963304 ,      0.48226628375662156 ,
12.492445453775664 ,      3.551454788050722 ,
13.475198588366338 ,      5.487534745985583 ,
13.665529735384903 ,      5.750528568074815 ,
37.47174858396691 ,      4.904019248252783 ,
Run_transform_grid
Finish_minimax_grid
